Date,Open,High,Low,Close,Adj Close,Volume
2013-07-15,21.230000,21.230000,21.230000,21.230000,17.305531,0
2013-07-16,21.110001,21.110001,21.110001,21.110001,17.207714,0
2013-07-17,21.200001,21.200001,21.200001,21.200001,17.281082,0
2013-07-18,21.410000,21.410000,21.410000,21.410000,17.452259,0
2013-07-19,21.400000,21.400000,21.400000,21.400000,17.444109,0
2013-07-22,21.469999,21.469999,21.469999,21.469999,17.501167,0
2013-07-23,21.480000,21.480000,21.480000,21.480000,17.509317,0
2013-07-24,21.340000,21.340000,21.340000,21.340000,17.395195,0
2013-07-25,21.450001,21.450001,21.450001,21.450001,17.484865,0
2013-07-26,21.389999,21.389999,21.389999,21.389999,17.435959,0
2013-07-29,21.280001,21.280001,21.280001,21.280001,17.346285,0
2013-07-30,21.350000,21.350000,21.350000,21.350000,17.403349,0
2013-07-31,21.410000,21.410000,21.410000,21.410000,17.452259,0
2013-08-01,21.719999,21.719999,21.719999,21.719999,17.704948,0
2013-08-02,21.690001,21.690001,21.690001,21.690001,17.680502,0
2013-08-05,21.709999,21.709999,21.709999,21.709999,17.696802,0
2013-08-06,21.480000,21.480000,21.480000,21.480000,17.509317,0
2013-08-07,21.340000,21.340000,21.340000,21.340000,17.395195,0
2013-08-08,21.450001,21.450001,21.450001,21.450001,17.484865,0
2013-08-09,21.450001,21.450001,21.450001,21.450001,17.484865,0
2013-08-12,21.510000,21.510000,21.510000,21.510000,17.533768,0
2013-08-13,21.469999,21.469999,21.469999,21.469999,17.501167,0
2013-08-14,21.400000,21.400000,21.400000,21.400000,17.444109,0
2013-08-15,21.040001,21.040001,21.040001,21.040001,17.150658,0
2013-08-16,20.959999,20.959999,20.959999,20.959999,17.085440,0
2013-08-19,20.750000,20.750000,20.750000,20.750000,16.914259,0
2013-08-20,21.020000,21.020000,21.020000,21.020000,17.134354,0
2013-08-21,20.850000,20.850000,20.850000,20.850000,16.995773,0
2013-08-22,21.110001,21.110001,21.110001,21.110001,17.207714,0
2013-08-23,21.139999,21.139999,21.139999,21.139999,17.232170,0
2013-08-26,21.100000,21.100000,21.100000,21.100000,17.199562,0
2013-08-27,20.650000,20.650000,20.650000,20.650000,16.832750,0
2013-08-28,20.680000,20.680000,20.680000,20.680000,16.857204,0
2013-08-29,20.799999,20.799999,20.799999,20.799999,16.955017,0
2013-08-30,20.510000,20.510000,20.510000,20.510000,16.718624,0
2013-09-03,20.540001,20.540001,20.540001,20.540001,16.743082,0
2013-09-04,20.719999,20.719999,20.719999,20.719999,16.889805,0
2013-09-05,20.780001,20.780001,20.780001,20.780001,16.938719,0
2013-09-06,20.799999,20.799999,20.799999,20.799999,16.955017,0
2013-09-09,21.090000,21.090000,21.090000,21.090000,17.191401,0
2013-09-10,21.270000,21.270000,21.270000,21.270000,17.338142,0
2013-09-11,21.290001,21.290001,21.290001,21.290001,17.354441,0
2013-09-12,21.170000,21.170000,21.170000,21.170000,17.256622,0
2013-09-13,21.260000,21.260000,21.260000,21.260000,17.329985,0
2013-09-16,21.370001,21.370001,21.370001,21.370001,17.419651,0
2013-09-17,21.520000,21.520000,21.520000,21.520000,17.541922,0
2013-09-18,21.740000,21.740000,21.740000,21.740000,17.721251,0
2013-09-19,21.700001,21.700001,21.700001,21.700001,17.688650,0
2013-09-20,21.580000,21.580000,21.580000,21.580000,17.590828,0
2013-09-23,21.540001,21.540001,21.540001,21.540001,17.558224,0
2013-09-24,21.590000,21.590000,21.590000,21.590000,17.598978,0
2013-09-25,21.610001,21.610001,21.610001,21.610001,17.615292,0
2013-09-26,21.690001,21.690001,21.690001,21.690001,17.680502,0
2013-09-27,21.610001,21.610001,21.610001,21.610001,17.615292,0
2013-09-30,21.600000,21.600000,21.600000,21.600000,17.607136,0
2013-10-01,21.870001,21.870001,21.870001,21.870001,17.827225,0
2013-10-02,21.809999,21.809999,21.809999,21.809999,17.778315,0
2013-10-03,21.620001,21.620001,21.620001,21.620001,17.623442,0
2013-10-04,21.740000,21.740000,21.740000,21.740000,17.721251,0
2013-10-07,21.490000,21.490000,21.490000,21.490000,17.517467,0
2013-10-08,21.200001,21.200001,21.200001,21.200001,17.281082,0
2013-10-09,21.150000,21.150000,21.150000,21.150000,17.240318,0
2013-10-10,21.629999,21.629999,21.629999,21.629999,17.631594,0
2013-10-11,21.870001,21.870001,21.870001,21.870001,17.827225,0
2013-10-14,21.969999,21.969999,21.969999,21.969999,17.908735,0
2013-10-15,21.780001,21.780001,21.780001,21.780001,17.753860,0
2013-10-16,22.040001,22.040001,22.040001,22.040001,17.965797,0
2013-10-17,22.240000,22.240000,22.240000,22.240000,18.128828,0
2013-10-18,22.420000,22.420000,22.420000,22.420000,18.275557,0
2013-10-21,22.420000,22.420000,22.420000,22.420000,18.275557,0
2013-10-22,22.540001,22.540001,22.540001,22.540001,18.373369,0
2013-10-23,22.450001,22.450001,22.450001,22.450001,18.300013,0
2013-10-24,22.549999,22.549999,22.549999,22.549999,18.381519,0
2013-10-25,22.610001,22.610001,22.610001,22.610001,18.430429,0
2013-10-28,22.610001,22.610001,22.610001,22.610001,18.430429,0
2013-10-29,22.680000,22.680000,22.680000,22.680000,18.487494,0
2013-10-30,22.490000,22.490000,22.490000,22.490000,18.332615,0
2013-10-31,22.440001,22.440001,22.440001,22.440001,18.291859,0
2013-11-01,22.450001,22.450001,22.450001,22.450001,18.300013,0
2013-11-04,22.650000,22.650000,22.650000,22.650000,18.463034,0
2013-11-05,22.520000,22.520000,22.520000,22.520000,18.357069,0
2013-11-06,22.490000,22.490000,22.490000,22.490000,18.332615,0
2013-11-07,22.120001,22.120001,22.120001,22.120001,18.031006,0
2013-11-08,22.469999,22.469999,22.469999,22.469999,18.316319,0
2013-11-11,22.510000,22.510000,22.510000,22.510000,18.348919,0
2013-11-12,22.500000,22.500000,22.500000,22.500000,18.340765,0
2013-11-13,22.719999,22.719999,22.719999,22.719999,18.520100,0
2013-11-14,22.799999,22.799999,22.799999,22.799999,18.585310,0
2013-11-15,22.860001,22.860001,22.860001,22.860001,18.634216,0
2013-11-18,22.730000,22.730000,22.730000,22.730000,18.528244,0
2013-11-19,22.610001,22.610001,22.610001,22.610001,18.430429,0
2013-11-20,22.580000,22.580000,22.580000,22.580000,18.405975,0
2013-11-21,22.860001,22.860001,22.860001,22.860001,18.634216,0
2013-11-22,22.959999,22.959999,22.959999,22.959999,18.715734,0
2013-11-25,22.950001,22.950001,22.950001,22.950001,18.707581,0
2013-11-26,23.020000,23.020000,23.020000,23.020000,18.764645,0
2013-11-27,23.120001,23.120001,23.120001,23.120001,18.846157,0
2013-11-29,23.110001,23.110001,23.110001,23.110001,18.838003,0
2013-12-02,22.990000,22.990000,22.990000,22.990000,18.740183,0
2013-12-03,22.860001,22.860001,22.860001,22.860001,18.634216,0
2013-12-04,22.799999,22.799999,22.799999,22.799999,18.585310,0
2013-12-05,22.799999,22.799999,22.799999,22.799999,18.585310,0
2013-12-06,23.030001,23.030001,23.030001,23.030001,18.772787,0
